X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
115.82867,-32.3172269999999,8447,Kwinana Fwy,SB S of Mundijong Rd,2021/22,35813,36417,32687,9.1,10.9,5.3,No,107,Rockingham (C),7,Metropolitan,7317055,{35380C77-7EDB-4DC7-B076-9077EFEAB373}
115.97275,-32.2054249999999,8468,Hopkinson Rd,North of Thomas Rd,2023/24,1477,1509,1306,7.4,10.2,3.8,No,108,Serpentine - Jarrahdale,7,Metropolitan,7317065,{8534EA19-1F1A-4035-B4D7-0C5EDBEBE37B}
115.587654,-31.317852,16029,Indian Ocean Dr,North of Gingin Brook Rd,2022/23,4187,3903,4920,11,13,6.4,No,507,Gingin,14,Mid West-Gascoyne,7317255,{D15D87F8-6656-4C94-B671-EC4E34EFA0C4}
113.698273,-24.863303,16618,Robinson St,West of North West Coastal Hwy,2024/25,3299,3457,2874,10.9,11.3,9.6,No,803,Carnarvon,14,Mid West-Gascoyne,7317324,{7DF4D2A9-5DB3-4F03-B3B5-DD851837AF0E}
114.621426,-28.8027299999999,18134,Brand Hwy,South of Broadhead Av,2021/22,14136,14607,12868,7.1,7.4,6.4,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7317428,{EF9A5B05-151B-47CD-9C1D-25090B7D83B7}
114.985691,-29.549721,18331,Indian Ocean Dr,South of Brand Hwy,2025/26,1057,1039,1102,19.4,20.2,17.2,Yes,508,Irwin,14,Mid West-Gascoyne,7317440,{4855C162-35F4-41EC-BA03-91525198ACB5}
115.801411,-28.870549,18411,Mullewa Wubin Rd,North of Arrinooka Rd,2023/24,42,50,25,40.5,46,20,No,511,Morawa,14,Mid West-Gascoyne,7317450,{620FC154-3916-4C07-BAF2-FE41BE9464DC}
114.725145,-28.852051,18664,Edward Rd,North of Bootenal Rd,2022/23,1521,1650,1188,18.5,21.4,12,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7317464,{9FE2390B-CF01-4964-B16A-1B09EEBE3F85}
114.624823,-28.7614139999999,18718,North West Coastal Hwy,North of Second St,2021/22,15034,15806,12638,10.3,11.3,8.2,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7317474,{97487868-9F56-4AD6-B5BD-688D54279081}
116.029745,-29.8961019999999,18920,Midlands Rd,South of Coorow Green Head Rd,2023/24,386,419,309,33.4,36.5,22.7,No,519,Coorow,14,Mid West-Gascoyne,7317484,{1C75A384-8BB8-4689-8A11-5062C963BDF1}
118.48888,-26.60137,19038,Great Northern Hwy,North of Norie Rd,2020/21,877,886,852,45.7,45.3,46.1,No,703,Meekatharra,14,Mid West-Gascoyne,7317494,{83DAF453-5A48-4FB8-B812-9FAA582E7C7F}
113.67861,-24.86918,19366,Robinson St,East of Marmion St,2024/25,4226,4532,3407,11.7,12.1,10.2,No,803,Carnarvon,14,Mid West-Gascoyne,7317556,{DFE9E37F-4901-4A58-A85D-CE91BCDAAD0E}
115.383839,-29.188374,2901,Midlands Rd,West of Mingenew Mullewa Rd,2024/25,530,548,486,36.8,39.4,29.8,Yes,509,Mingenew,14,Mid West-Gascoyne,7318980,{0C704E1E-20EA-40F1-A931-435E098CDE66}
113.706383,-24.885733,50519,North West Coastal Hwy,North of HMAS Sydney II Memorial Av,2025/26,792,786,807,39.4,40.1,37.4,No,803,Carnarvon,14,Mid West-Gascoyne,7317650,{60913BE5-3715-4713-961E-417BBA0BDFBF}
114.452785,-28.29365,50708,Port Gregory Rd,West of Northampton,2025/26,748,773,687,27.5,29,23.7,Yes,513,Northampton,14,Mid West-Gascoyne,7317703,{8251113F-4C1A-441D-91E3-E7DF4A3B0E11}
115.21438,-30.7899899999999,50972,Indian Ocean Dr,North of Wedge Island Rd,2025/26,2186,2026,2605,22.4,22.8,21.3,No,504,Dandaragan,14,Mid West-Gascoyne,7317764,{459FF71A-2963-4701-99A7-1DE2A92D9B05}
114.625684,-28.7158019999999,51776,Chapman Rd,South of Sail Bvd,2024/25,6696,6968,6030,19.2,19.8,17.7,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7317909,{2B516C94-5FC8-4A06-B0F3-8CC872D60299}
114.70963,-28.816948,52037,Arthur Rd,South of Brice Rd,2023/24,201,248,103,45.8,49.6,31.1,No,505,Greater Geraldton (C),14,Mid West-Gascoyne,7316589,{37763843-529A-4E9B-9349-D7CF8447759F}
